"pasta","id","nome","status","sold_flag_scrape","zona","regiao","quartos","fotos","plantas","amenidades","url"
"0336_luzes-do-rio-condomínio-candeeiro","336","Luzes do Rio - Condomínio Candeeiro","Lançamento","True","zona-portuaria","Imperial de São Cristóvão","1/2","15","3","12","https://cury.net/imovel/RJ/zona-portuaria/luzes-do-rio-condominio-candeeiro"
"0351_luzes-do-rio-condomínio-lamparina","351","Luzes do Rio - Condomínio Lamparina","Lançamento","True","zona-portuaria","Imperial de São Cristóvão","2","24","9","8","https://cury.net/imovel/RJ/zona-portuaria/luzes-do-rio-condominio-lamparina"
"0232_nova-irajá-residencial","232","Nova Irajá Residencial","Lançamento","True","zona-norte","Irajá","2","18","5","7","https://cury.net/imovel/RJ/zona-norte/nova-iraja-residencial"
"0255_origem-porto-imperial","255","Origem Porto Imperial","Lançamento","True","zona-norte","São Cristóvão","2/3","20","0","12","https://cury.net/imovel/RJ/zona-norte/origem-porto-imperial"
"0352_orla-central","352","Orla Central","Lançamento","True","niteroi","Centro","1/2/3","21","9","17","https://cury.net/imovel/RJ/niteroi/orla-central"
"0350_parque-piedade-condomínio-aquarela","350","Parque Piedade - Condomínio Aquarela","Lançamento","True","zona-norte","Piedade","2","15","4","16","https://cury.net/imovel/RJ/zona-norte/parque-piedade-condominio-aquarela"
"0342_residencial-pixinguinha-condomínio-rosa","342","Residencial Pixinguinha - Condomínio Rosa","Lançamento","True","zona-portuaria","Santo Cristo","2","25","6","25","https://cury.net/imovel/RJ/zona-portuaria/residencial-pixinguinha-condominio-rosa"
"0356_saudosa-praça-onze-residencial","356","Saudosa Praça Onze Residencial","Lançamento","True","centro","Centro","0/1/2","12","7","8","https://cury.net/imovel/RJ/centro/saudosa-praca-onze-residencial"
"0267_américas-19","267","Américas 19","Em Obras","True","zona-oeste","Recreio","2/3","17","5","14","https://cury.net/imovel/RJ/zona-oeste/americas-19"
"0302_arcos-do-porto","302","Arcos do Porto","Em Obras","True","zona-portuaria","Porto Maravilha","0/1/2","13","7","9","https://cury.net/imovel/RJ/zona-portuaria/arcos-do-porto"
"0240_baía","240","Baía","Em Obras","True","zona-portuaria","Porto Maravilha","0/1/2/3","19","11","12","https://cury.net/imovel/RJ/zona-portuaria/baia"
"0309_caminhos-da-guanabara","309","Caminhos da Guanabara","Em Obras","True","niteroi","Niterói","1/2","15","6","16","https://cury.net/imovel/RJ/niteroi/caminhos-da-guanabara"
"0296_ciata-residencial","296","Ciata Residencial","Em Obras","True","zona-portuaria","Porto Maravilha","0/1/2","14","4","10","https://cury.net/imovel/RJ/zona-portuaria/ciata-residencial"
"0282_completo-parque-brito-iii","282","Completo Parque Brito III","Em Obras","True","zona-oeste","Campo Grande","1/2","14","7","10","https://cury.net/imovel/RJ/zona-oeste/completo-parque-brito-iii"
"0227_epicentro","227","Epicentro","Em Obras","True","centro","Porto Maravilha","0/1/2/3","25","10","14","https://cury.net/imovel/RJ/centro/epicentro"
"0327_farol-da-guanabara","327","Farol da Guanabara","Em Obras","True","zona-portuaria","Santo Cristo","0/1/3","12","8","13","https://cury.net/imovel/RJ/zona-portuaria/farol-da-guanabara"
"0278_heitor-dos-prazeres-colombina","278","Heitor dos Prazeres - Colombina","Em Obras","True","zona-portuaria","Porto Maravilha","0/1","14","2","7","https://cury.net/imovel/RJ/zona-portuaria/heitor-dos-prazeres-colombina"
"0268_heitor-dos-prazeres-pierrot","268","Heitor dos Prazeres - Pierrot","Em Obras","True","zona-portuaria","Porto Maravilha","2","28","7","23","https://cury.net/imovel/RJ/zona-portuaria/heitor-dos-prazeres-pierrot"
"0287_metropolitan-dream","287","Metropolitan Dream","Em Obras","True","zona-oeste","Barra Olímpica","1/2/3","18","10","16","https://cury.net/imovel/RJ/zona-oeste/metropolitan-dream"
"0258_mirante-da-guanabara","258","Mirante da Guanabara","Em Obras","True","zona-portuaria","Porto Maravilha","0/1/2/3","7","8","8","https://cury.net/imovel/RJ/zona-portuaria/mirante-da-guanabara"
"0245_my-jacarepaguá-life","245","My Jacarepaguá Life","Em Obras","True","zona-oeste","Jacarepaguá","1/2","10","8","6","https://cury.net/imovel/RJ/zona-oeste/my-jacarepagua-life"
"0283_my-jacarepaguá-mood","283","My Jacarepaguá Mood","Em Obras","True","zona-oeste","Jacarepaguá","1/2","10","8","6","https://cury.net/imovel/RJ/zona-oeste/my-jacarepagua-mood"
"0274_nova-norte-ginga","274","Nova Norte - Ginga","Em Obras","True","zona-norte","Irajá","1/2/3","11","9","9","https://cury.net/imovel/RJ/zona-norte/nova-norte-ginga"
"0322_nova-norte-raízes","322","Nova Norte - Raízes","Em Obras","True","zona-norte","Irajá","2/3","10","10","10","https://cury.net/imovel/RJ/zona-norte/nova-norte-raizes"
"0293_orla-mauá","293","Orla Mauá","Em Obras","True","zona-portuaria","Porto Maravilha","0/1/2/3","16","17","14","https://cury.net/imovel/RJ/zona-portuaria/orla-maua"
"0319_residencial-cartola","319","Residencial Cartola","Em Obras","True","zona-portuaria","São Cristóvão","1/2","13","7","14","https://cury.net/imovel/RJ/zona-portuaria/residencial-cartola"
"0341_residencial-cartola-ii","341","Residencial Cartola II","Em Obras","True","zona-portuaria","São Cristóvão","1/2","14","4","13","https://cury.net/imovel/RJ/zona-portuaria/residencial-cartola-ii"
"0294_residencial-nova-olaria","294","Residencial Nova Olaria","Em Obras","True","zona-norte","Olaria","2","9","3","9","https://cury.net/imovel/RJ/zona-norte/residencial-nova-olaria"
"0314_residencial-pixinguinha-condomínio-carinhoso","314","Residencial Pixinguinha - Condomínio Carinhoso","Em Obras","True","zona-portuaria","Santo Cristo","0/1/2/3","26","8","9","https://cury.net/imovel/RJ/zona-portuaria/residencial-pixinguinha-condominio-carinhoso"
"0259_residencial-porto-maravilha","259","Residencial Porto Maravilha","Em Obras","True","zona-portuaria","Porto Maravilha","2","18","6","15","https://cury.net/imovel/RJ/zona-portuaria/residencial-porto-maravilha"
"0249_residencial-quinta-do-bispo","249","Residencial Quinta do Bispo","Em Obras","True","zona-norte","Rio Comprido","1/2","13","5","12","https://cury.net/imovel/RJ/zona-norte/residencial-quinta-do-bispo"
"0234_rio-branco-220","234","Rio Branco 220","Em Obras","True","niteroi","Centro","1/2","20","12","12","https://cury.net/imovel/RJ/niteroi/rio-branco-220"
"0286_the-pier-residencial","286","The Pier Residencial","Em Obras","True","niteroi","Niterói","1/2/3","21","11","13","https://cury.net/imovel/RJ/niteroi/the-pier-residencial"
"0153_alto-são-cristóvão","153","Alto São Cristóvão","Pronto para Morar","True","zona-norte","São Cristóvão","0/1/2","14","10","10","https://cury.net/imovel/RJ/zona-norte/alto-sao-cristovao"
"0043_bela-vista-jacarepaguá","43","Bela Vista Jacarepaguá","Pronto para Morar","False","zona-oeste","Jacarepaguá","2/3","6","3","5","https://cury.net/imovel/RJ/zona-oeste/bela-vista-jacarepagua"
"0042_bela-vista-nova-iguaçu","42","Bela Vista Nova Iguaçu","Pronto para Morar","False","baixada-fluminense","Nova Iguaçu","2/3","6","3","6","https://cury.net/imovel/RJ/baixada-fluminense/bela-vista-nova-iguacu"
